navigation,pid,tid,jid,distance,n_interactions,time_ms
swipe,2SNJ270,1,3,-3,3,2235
swipe,2SNJ270,1,4,2,2,1834
swipe,2SNJ270,2,0,-4,4,3043
swipe,2SNJ270,2,1,5,5,2767
swipe,2SNJ270,2,2,4,4,2600
swipe,2SNJ270,2,3,6,6,3387
swipe,2SNJ270,2,4,-5,5,2484
swipe,2SNJ270,3,0,9,9,4905
swipe,2SNJ270,3,1,8,8,3567
swipe,2SNJ270,3,2,-7,7,3188
swipe,2SNJ270,3,3,-8,8,3668
swipe,2SNJ270,3,4,-8,8,3756
swipe,2SNJ270,4,0,-11,11,5156
swipe,2SNJ270,4,1,-11,11,4205
swipe,2SNJ270,4,2,10,10,3954
swipe,2SNJ270,4,3,-12,12,4639
swipe,2SNJ270,4,4,11,11,4389
swipe,2SNJ270,5,0,14,14,5971
swipe,2SNJ270,5,1,-15,59,24794
swipe,2SNJ270,5,2,-14,14,4605
swipe,2SNJ270,5,3,13,13,4205
swipe,2SNJ270,5,4,-14,14,4894
swipe,1TROSI0,0,0,-5,5,2912
swipe,1TROSI0,0,1,5,5,2003
swipe,1TROSI0,0,2,5,5,1786
swipe,1TROSI0,0,3,-5,5,2217
swipe,1TROSI0,0,4,-5,5,2018
swipe,1TROSI0,1,0,2,2,3121
swipe,1TROSI0,1,1,-1,1,1251
swipe,1TROSI0,1,2,-2,2,1752
swipe,1TROSI0,1,3,-3,3,2638
swipe,1TROSI0,1,4,2,2,1517
swipe,1TROSI0,2,0,-4,4,2409
swipe,1TROSI0,2,1,5,5,1934
swipe,1TROSI0,2,2,4,4,1852
swipe,1TROSI0,2,3,6,6,2770
swipe,1TROSI0,2,4,-5,5,1985
swipe,1TROSI0,3,0,9,9,3833
swipe,1TROSI0,3,1,8,8,3205
swipe,1TROSI0,3,2,-7,9,3537
swipe,1TROSI0,3,3,-8,8,3154
swipe,1TROSI0,3,4,-8,10,3438
swipe,1TROSI0,4,0,-11,11,4790
swipe,1TROSI0,4,1,-11,11,4738
swipe,1TROSI0,4,2,10,10,3572
swipe,1TROSI0,4,3,-12,12,4156
swipe,1TROSI0,4,4,11,11,4372
swipe,1TROSI0,5,0,14,14,4792
swipe,1TROSI0,5,1,-15,15,4240
swipe,1TROSI0,5,2,-14,14,4588
swipe,1TROSI0,5,3,13,13,4038
swipe,1TROSI0,5,4,-14,14,4524
swipe,GNUB7B,0,0,-5,9,4743
swipe,GNUB7B,0,1,5,5,2155
swipe,GNUB7B,0,2,5,5,2919
swipe,GNUB7B,0,3,-5,5,2753
swipe,GNUB7B,0,4,-5,5,2588
swipe,GNUB7B,1,0,2,2,2287
swipe,GNUB7B,1,1,-1,3,2420
swipe,GNUB7B,1,2,-2,2,1402
swipe,GNUB7B,1,3,-3,3,2020
swipe,GNUB7B,1,4,2,2,1602
swipe,GNUB7B,2,0,-4,4,3408
swipe,GNUB7B,2,1,5,5,2054
swipe,GNUB7B,2,2,4,4,1871
swipe,GNUB7B,2,3,6,6,2670
swipe,GNUB7B,2,4,-5,5,2255
swipe,GNUB7B,3,0,9,9,4465
swipe,GNUB7B,3,1,8,8,3058
swipe,GNUB7B,3,2,-7,7,3070
swipe,GNUB7B,3,3,-8,8,3306
swipe,GNUB7B,3,4,-8,10,3773
swipe,GNUB7B,4,0,-11,11,4647
swipe,GNUB7B,4,1,-11,11,3792
swipe,GNUB7B,4,2,10,10,4237
swipe,GNUB7B,4,3,-12,14,5007
swipe,GNUB7B,4,4,11,11,4574
swipe,GNUB7B,5,0,14,14,4949
swipe,GNUB7B,5,1,-15,15,4242
swipe,GNUB7B,5,2,-14,14,3756
swipe,GNUB7B,5,3,13,15,5076
swipe,GNUB7B,5,4,-14,14,4342
burger,2H16GFF,0,0,-5,1,6023
burger,2H16GFF,0,1,5,1,4618
burger,2H16GFF,0,2,5,1,4105
burger,2H16GFF,0,3,-5,1,3690
burger,2H16GFF,0,4,-5,1,4257
burger,2H16GFF,1,0,2,1,3772
burger,2H16GFF,1,1,-1,1,3105
burger,2H16GFF,1,2,-2,3,6812
burger,2H16GFF,1,3,-3,1,3556
burger,2H16GFF,1,4,2,1,2838
burger,2H16GFF,2,0,-4,1,3846
burger,2H16GFF,2,1,5,1,2774
burger,2H16GFF,2,2,4,1,3341
burger,2H16GFF,2,3,6,1,5642
burger,2H16GFF,2,4,-5,1,4228
burger,2H16GFF,3,0,9,2,4490
burger,2H16GFF,3,1,8,1,3657
burger,2H16GFF,3,2,-7,1,3806
burger,2H16GFF,3,3,-8,1,4741
burger,2H16GFF,3,4,-8,1,4772
burger,2H16GFF,4,0,-11,1,5857
burger,2H16GFF,4,1,-11,1,4357
burger,2H16GFF,4,2,10,1,4024
burger,2H16GFF,4,3,-12,1,3423
burger,2H16GFF,4,4,11,1,3727
burger,2H16GFF,5,0,14,1,7481
burger,2H16GFF,5,1,-15,1,4191
burger,2H16GFF,5,2,-14,1,4610
burger,2H16GFF,5,3,13,1,3575
burger,2H16GFF,5,4,-14,1,3821
swipe,3TJFHGM,0,0,-5,5,4288
swipe,3TJFHGM,0,1,5,5,4738
swipe,3TJFHGM,0,2,5,5,2721
swipe,3TJFHGM,0,3,-5,5,3505
swipe,3TJFHGM,0,4,-5,5,3004
swipe,3TJFHGM,1,0,2,2,2523
swipe,3TJFHGM,1,1,-1,1,1389
swipe,3TJFHGM,1,2,-2,2,1951
swipe,3TJFHGM,1,3,-3,3,2204
swipe,3TJFHGM,1,4,2,2,1467
swipe,3TJFHGM,2,0,-4,4,4107
swipe,3TJFHGM,2,1,5,5,2888
swipe,3TJFHGM,2,2,4,4,2905
swipe,3TJFHGM,2,3,6,6,3503
swipe,3TJFHGM,2,4,-5,5,3670
swipe,3TJFHGM,3,0,9,9,4487
swipe,3TJFHGM,3,1,8,8,4224
swipe,3TJFHGM,3,2,-7,7,3155
swipe,3TJFHGM,3,3,-8,8,3621
swipe,3TJFHGM,3,4,-8,8,3438
swipe,3TJFHGM,4,0,-11,11,5315
swipe,3TJFHGM,4,1,-11,11,5055
swipe,3TJFHGM,4,2,10,12,4273
swipe,3TJFHGM,4,3,-12,12,5071
swipe,3TJFHGM,4,4,11,13,4475
swipe,3TJFHGM,5,0,14,16,5409
swipe,3TJFHGM,5,1,-15,15,5124
swipe,3TJFHGM,5,2,-14,14,4340
swipe,3TJFHGM,5,3,13,15,4991
swipe,3TJFHGM,5,4,-14,14,4618
swipe,3427HAJ,0,0,-5,7,4628
swipe,3427HAJ,0,1,5,5,2288
swipe,3427HAJ,0,2,5,5,2834
swipe,3427HAJ,0,3,-5,5,2137
swipe,3427HAJ,0,4,-5,5,2671
swipe,3427HAJ,1,0,2,4,2530
swipe,3427HAJ,1,1,-1,1,1538
swipe,3427HAJ,1,2,-2,2,1518
swipe,3427HAJ,1,3,-3,3,2000
swipe,3427HAJ,1,4,2,2,3006
swipe,3427HAJ,2,0,-4,4,2559
swipe,3427HAJ,2,1,5,5,2305
swipe,3427HAJ,2,2,4,4,2588
swipe,3427HAJ,2,3,6,6,2935
swipe,3427HAJ,2,4,-5,5,2822
swipe,3427HAJ,3,0,9,13,5263
swipe,3427HAJ,3,1,8,8,3572
swipe,3427HAJ,3,2,-7,7,3188
swipe,3427HAJ,3,3,-8,8,3454
swipe,3427HAJ,3,4,-8,8,2905
swipe,3427HAJ,4,0,-11,11,3906
swipe,3427HAJ,4,1,-11,11,3305
swipe,3427HAJ,4,2,10,10,3639
swipe,3427HAJ,4,3,-12,12,4440
swipe,3427HAJ,4,4,11,13,4371
swipe,3427HAJ,5,0,14,16,6623
swipe,3427HAJ,5,1,-15,15,5372
swipe,3427HAJ,5,2,-14,14,5025
swipe,3427HAJ,5,3,13,13,4369
swipe,3427HAJ,5,4,-14,14,4857
burger,15L5F3M,0,0,-5,1,7121
burger,15L5F3M,0,1,5,1,4120
burger,15L5F3M,0,2,5,1,3088
burger,15L5F3M,0,3,-5,1,2786
burger,15L5F3M,0,4,-5,1,5242
burger,15L5F3M,1,0,2,1,5846
burger,15L5F3M,1,1,-1,1,3057
burger,15L5F3M,1,2,-2,1,2568
burger,15L5F3M,1,3,-3,1,2821
burger,15L5F3M,1,4,2,1,2854
burger,15L5F3M,2,0,-4,1,3354
burger,15L5F3M,2,1,5,1,3055
burger,15L5F3M,2,2,4,1,3269
burger,15L5F3M,2,3,6,1,4241
burger,15L5F3M,2,4,-5,1,2939
burger,15L5F3M,3,0,9,1,3311
burger,15L5F3M,3,1,8,1,3156
burger,15L5F3M,3,2,-7,1,2841
burger,15L5F3M,3,3,-8,1,3557
burger,15L5F3M,3,4,-8,1,3457
burger,15L5F3M,4,0,-11,1,3920
burger,15L5F3M,4,1,-11,1,4275
burger,15L5F3M,4,2,10,1,3856
burger,15L5F3M,4,3,-12,1,2788
burger,15L5F3M,4,4,11,1,3424
burger,15L5F3M,5,0,14,1,5605
burger,15L5F3M,5,1,-15,1,3641
burger,15L5F3M,5,2,-14,1,3490
burger,15L5F3M,5,3,13,1,3641
burger,15L5F3M,5,4,-14,1,3644
