navigation,pid,tid,jid,distance,n_interactions,time_ms
burger,3TNUDVF,3,0,9,1,7089
burger,3TNUDVF,3,1,8,1,3661
burger,3TNUDVF,3,2,-7,1,3085
burger,3TNUDVF,3,3,-8,1,4949
burger,3TNUDVF,3,4,-8,1,3239
burger,3TNUDVF,4,0,-11,1,6286
burger,3TNUDVF,4,1,-11,1,3212
burger,3TNUDVF,4,2,10,1,3796
burger,3TNUDVF,4,3,-12,1,3222
burger,3TNUDVF,4,4,11,1,3213
burger,3TNUDVF,5,0,14,1,9217
burger,3TNUDVF,5,1,-15,1,5879
burger,3TNUDVF,5,2,-14,1,4956
burger,3TNUDVF,5,3,13,1,6296
burger,3TNUDVF,5,4,-14,1,4852
burger,3687CUS,0,0,-5,2,25988
burger,3687CUS,0,1,5,1,6902
burger,3687CUS,0,2,5,1,4606
burger,3687CUS,0,3,-5,1,4115
burger,3687CUS,0,4,-5,1,3660
burger,3687CUS,1,0,2,1,5931
burger,3687CUS,1,1,-1,1,4137
burger,3687CUS,1,2,-2,1,4105
burger,3687CUS,1,3,-3,1,2794
burger,3687CUS,1,4,2,1,2805
burger,3687CUS,2,0,-4,1,5631
burger,3687CUS,2,1,5,1,3098
burger,3687CUS,2,2,5,1,3419
burger,3687CUS,2,3,6,1,3725
burger,3687CUS,2,4,-5,1,4041
burger,3687CUS,3,0,9,1,5520
burger,3687CUS,3,1,8,1,4534
burger,3687CUS,3,2,-7,1,3165
burger,3687CUS,3,3,-8,1,3428
burger,3687CUS,3,4,-8,1,3627
burger,3687CUS,4,0,-11,1,4389
burger,3687CUS,4,1,-11,1,2944
burger,3687CUS,4,2,10,1,4509
burger,3687CUS,4,3,-12,1,2786
burger,3687CUS,4,4,11,1,2598
burger,3687CUS,5,0,14,1,5901
burger,3687CUS,5,1,-15,1,4032
burger,3687CUS,5,2,-14,1,4535
burger,3687CUS,5,3,13,1,3486
burger,3687CUS,5,4,-14,1,3648
swipe,33JHTN,0,0,-5,6,41325
swipe,33JHTN,0,1,5,5,5483
swipe,33JHTN,0,2,5,5,5516
swipe,33JHTN,0,3,-5,5,4230
swipe,33JHTN,0,4,-5,5,3946
swipe,33JHTN,1,0,2,2,4294
swipe,33JHTN,1,1,-1,1,1769
swipe,33JHTN,1,2,-2,2,2416
swipe,33JHTN,1,3,-3,3,2953
swipe,33JHTN,1,4,2,2,2645
swipe,33JHTN,2,0,-4,4,4880
swipe,33JHTN,2,1,5,5,3795
swipe,33JHTN,2,2,5,5,5201
swipe,33JHTN,2,3,6,6,5126
