navigation,pid,qid,result
swipe,QRC5HP,0,1
swipe,QRC5HP,1,1
swipe,QRC5HP,2,3
swipe,QRC5HP,3,4
swipe,S5AILP,0,1
swipe,S5AILP,1,1
swipe,S5AILP,2,1
swipe,S5AILP,3,5
swipe,T0FONT,0,1
swipe,T0FONT,1,2
swipe,T0FONT,2,4
swipe,T0FONT,3,5
burger,2KG07C4,0,1
burger,2KG07C4,1,5
burger,2KG07C4,2,2
burger,2KG07C4,3,6
