navigation,pid,tid,jid,distance,n_interactions,time_ms
burger,3P156GT,1,1,-1,1,3487
burger,3P156GT,1,2,-2,1,3319
burger,3P156GT,1,3,-3,1,3319
burger,3P156GT,1,4,2,1,3454
burger,3P156GT,2,0,-4,1,5625
burger,3P156GT,2,1,5,1,4176
burger,3P156GT,2,2,5,1,3607
burger,3P156GT,2,3,6,1,4113
burger,3P156GT,2,4,-5,1,3417
burger,3P156GT,3,0,9,1,5469
burger,3P156GT,3,1,8,1,4950
burger,3P156GT,3,2,-7,1,3932
burger,3P156GT,3,3,-8,1,4397
burger,3P156GT,3,4,-8,1,4647
burger,3P156GT,4,0,-11,1,7033
burger,3P156GT,4,1,-11,1,4627
burger,3P156GT,4,2,10,1,4967
burger,3P156GT,4,3,-12,1,4068
burger,3P156GT,4,4,11,1,4526
burger,3P156GT,5,0,14,1,6155
burger,3P156GT,5,1,-15,1,4951
burger,3P156GT,5,2,-14,1,4787
burger,3P156GT,5,3,13,1,5123
burger,3P156GT,5,4,-14,1,5045
burger,2L8FC9S,0,0,-5,2,48534
burger,2L8FC9S,0,1,5,1,9977
burger,2L8FC9S,0,2,5,1,6710
burger,2L8FC9S,0,3,-5,1,8164
burger,2L8FC9S,0,4,-5,1,6839
burger,2L8FC9S,1,0,2,1,5864
burger,2L8FC9S,1,1,-1,1,3961
burger,2L8FC9S,1,2,-2,1,3521
burger,2L8FC9S,1,3,-3,1,4135
burger,2L8FC9S,1,4,2,1,3279
burger,2L8FC9S,2,0,-4,1,8348
burger,2L8FC9S,2,1,5,1,5169
burger,2L8FC9S,2,2,5,1,9244
burger,2L8FC9S,2,3,6,1,5068
burger,2L8FC9S,2,4,-5,1,5570
burger,2L8FC9S,3,0,9,1,8470
burger,2L8FC9S,3,1,8,1,4656
burger,2L8FC9S,3,2,-7,1,4537
burger,2L8FC9S,3,3,-8,1,4294
burger,2L8FC9S,3,4,-8,1,3815
burger,2L8FC9S,4,0,-11,1,4925
burger,2L8FC9S,4,1,-11,1,4395
burger,2L8FC9S,4,2,10,1,4028
burger,2L8FC9S,4,3,-12,1,3868
burger,2L8FC9S,4,4,11,1,4364
burger,2L8FC9S,5,0,14,1,7537
burger,2L8FC9S,5,1,-15,1,5805
burger,2L8FC9S,5,2,-14,1,5229
burger,2L8FC9S,5,3,13,1,5006
burger,2L8FC9S,5,4,-14,1,4959
burger,1LVR1BA,0,0,-5,2,35163
burger,1LVR1BA,0,1,5,1,10319
burger,1LVR1BA,0,2,5,1,3658
burger,1LVR1BA,0,3,-5,1,4389
burger,1LVR1BA,0,4,-5,1,3849
burger,1LVR1BA,1,0,2,1,9626
burger,1LVR1BA,1,1,-1,1,3333
burger,1LVR1BA,1,2,-2,1,4059
burger,1LVR1BA,1,3,-3,1,3084
burger,1LVR1BA,1,4,2,1,2879
burger,1LVR1BA,2,0,-4,1,3671
burger,1LVR1BA,2,1,5,1,3030
burger,1LVR1BA,2,2,5,1,4665
burger,1LVR1BA,2,3,6,1,4004
burger,1LVR1BA,2,4,-5,1,3842
burger,1LVR1BA,3,0,9,1,4685
burger,1LVR1BA,3,1,8,1,3435
burger,1LVR1BA,3,2,-7,1,4855
burger,1LVR1BA,3,3,-8,1,3142
burger,1LVR1BA,3,4,-8,1,3172
burger,1LVR1BA,4,0,-11,1,5042
burger,1LVR1BA,4,1,-11,1,2902
burger,1LVR1BA,4,2,10,1,3165
burger,1LVR1BA,4,3,-12,1,3177
burger,1LVR1BA,4,4,11,1,3538
burger,1LVR1BA,5,0,14,1,6719
burger,1LVR1BA,5,1,-15,1,5090
burger,1LVR1BA,5,2,-14,1,4425
burger,1LVR1BA,5,3,13,1,4603
burger,1LVR1BA,5,4,-14,1,4089
burger,34M20O3,0,0,-5,2,32323
burger,34M20O3,0,1,5,1,5707
burger,34M20O3,0,2,5,2,12260
burger,34M20O3,0,3,-5,1,6789
burger,34M20O3,0,4,-5,1,10916
burger,34M20O3,1,0,2,1,7507
burger,34M20O3,1,1,-1,1,6054
burger,34M20O3,1,2,-2,1,4613
burger,34M20O3,1,3,-3,1,4550
burger,34M20O3,1,4,2,1,3667
burger,34M20O3,2,0,-4,1,5232
burger,34M20O3,2,1,5,1,6309
burger,34M20O3,2,2,5,1,6311
burger,34M20O3,2,3,6,1,4496
burger,34M20O3,2,4,-5,4,35643
burger,34M20O3,3,0,9,1,16458
burger,34M20O3,3,1,8,1,6558
burger,34M20O3,3,2,-7,1,5946
burger,34M20O3,3,3,-8,1,5342
burger,34M20O3,3,4,-8,1,7225
burger,34M20O3,4,0,-11,1,6605
burger,34M20O3,4,1,-11,1,6348
burger,34M20O3,4,2,10,2,10873
burger,34M20O3,4,3,-12,1,4911
burger,34M20O3,4,4,11,1,6580
burger,34M20O3,5,0,14,1,9135
burger,34M20O3,5,1,-15,1,7122
burger,34M20O3,5,2,-14,1,5966
burger,34M20O3,5,3,13,1,7472
burger,34M20O3,5,4,-14,1,4943
swipe,3V5IM4C,0,0,-5,8,34426
swipe,3V5IM4C,0,1,5,5,5066
swipe,3V5IM4C,0,2,5,5,7918
swipe,3V5IM4C,0,3,-5,5,3506
swipe,3V5IM4C,0,4,-5,5,4070
swipe,3V5IM4C,1,0,2,2,3132
swipe,3V5IM4C,1,1,-1,1,1730
swipe,3V5IM4C,1,2,-2,2,1718
swipe,3V5IM4C,1,3,-3,3,1995
swipe,3V5IM4C,1,4,2,2,2592
swipe,3V5IM4C,2,0,-4,4,3767
swipe,3V5IM4C,2,1,5,5,3255
swipe,3V5IM4C,2,2,5,5,2927
swipe,3V5IM4C,2,3,6,6,4382
swipe,3V5IM4C,2,4,-5,5,3034
swipe,3V5IM4C,3,0,9,9,5425
swipe,3V5IM4C,3,1,8,8,5303
swipe,3V5IM4C,3,2,-7,11,5176
swipe,3V5IM4C,3,3,-8,8,3666
swipe,3V5IM4C,3,4,-8,8,3797
swipe,3V5IM4C,4,0,-11,11,6102
swipe,3V5IM4C,4,1,-11,11,4858
swipe,3V5IM4C,4,2,10,10,5067
swipe,3V5IM4C,4,3,-12,12,4408
swipe,3V5IM4C,4,4,11,11,4360
swipe,3V5IM4C,5,0,14,14,6941
swipe,3V5IM4C,5,1,-15,15,5587
swipe,3V5IM4C,5,2,-14,14,5327
swipe,3V5IM4C,5,3,13,13,4695
swipe,3V5IM4C,5,4,-14,14,4879
burger,3RPMKQ7,0,0,-5,2,33348
burger,3RPMKQ7,0,1,5,1,5993
burger,3RPMKQ7,0,2,5,1,5021
burger,3RPMKQ7,0,3,-5,1,5389
burger,3RPMKQ7,0,4,-5,1,5676
burger,3RPMKQ7,1,0,2,1,5155
burger,3RPMKQ7,1,1,-1,1,3514
burger,3RPMKQ7,1,2,-2,1,3697
burger,3RPMKQ7,1,3,-3,1,3448
burger,3RPMKQ7,1,4,2,1,3732
burger,3RPMKQ7,2,0,-4,1,5243
burger,3RPMKQ7,2,1,5,1,3613
burger,3RPMKQ7,2,2,5,1,3948
burger,3RPMKQ7,2,3,6,1,3840
burger,3RPMKQ7,2,4,-5,1,5978
burger,3RPMKQ7,3,0,9,2,12299
burger,3RPMKQ7,3,1,8,1,3969
burger,3RPMKQ7,3,2,-7,1,3525
burger,3RPMKQ7,3,3,-8,1,2842
burger,3RPMKQ7,3,4,-8,1,3683
burger,3RPMKQ7,4,0,-11,1,12386
burger,3RPMKQ7,4,1,-11,1,4481
burger,3RPMKQ7,4,2,10,1,3870
burger,3RPMKQ7,4,3,-12,1,3672
burger,3RPMKQ7,4,4,11,1,4096
burger,3RPMKQ7,5,0,14,1,5815
burger,3RPMKQ7,5,1,-15,1,4546
burger,3RPMKQ7,5,2,-14,1,5484
burger,3RPMKQ7,5,3,13,1,5082
burger,3RPMKQ7,5,4,-14,1,5522
swipe,2GEOQ9P,0,0,-5,8,38113
swipe,2GEOQ9P,0,1,5,5,3601
swipe,2GEOQ9P,0,2,5,5,5830
swipe,2GEOQ9P,0,3,-5,5,3680
swipe,2GEOQ9P,0,4,-5,5,3085
swipe,2GEOQ9P,1,0,2,2,2782
swipe,2GEOQ9P,1,1,-1,1,1589
swipe,2GEOQ9P,1,2,-2,2,1910
swipe,2GEOQ9P,1,3,-3,3,2473
swipe,2GEOQ9P,1,4,2,4,2950
swipe,2GEOQ9P,2,0,-4,4,10031
swipe,2GEOQ9P,2,1,5,5,2775
swipe,2GEOQ9P,2,2,5,7,3701
swipe,2GEOQ9P,2,3,6,6,4492
swipe,2GEOQ9P,2,4,-5,5,2769
swipe,2GEOQ9P,3,0,9,9,5520
swipe,2GEOQ9P,3,1,8,8,4086
swipe,2GEOQ9P,3,2,-7,7,4046
swipe,2GEOQ9P,3,3,-8,8,4069
swipe,2GEOQ9P,3,4,-8,8,3815
swipe,2GEOQ9P,4,0,-11,11,6005
swipe,2GEOQ9P,4,1,-11,11,4534
swipe,2GEOQ9P,4,2,10,10,5838
swipe,2GEOQ9P,4,3,-12,12,5264
swipe,2GEOQ9P,4,4,11,11,5357
swipe,2GEOQ9P,5,0,14,14,6587
swipe,2GEOQ9P,5,1,-15,15,6414
swipe,2GEOQ9P,5,2,-14,14,6127
swipe,2GEOQ9P,5,3,13,13,5345
swipe,2GEOQ9P,5,4,-14,18,7376
swipe,3IMSUI8,0,0,-5,10,12541
swipe,3IMSUI8,0,1,5,5,4032
swipe,3IMSUI8,0,2,5,5,3406
swipe,3IMSUI8,0,3,-5,5,2930
swipe,3IMSUI8,0,4,-5,5,3026
swipe,3IMSUI8,1,0,2,2,4074
swipe,3IMSUI8,1,1,-1,1,2384
swipe,3IMSUI8,1,2,-2,2,2047
swipe,3IMSUI8,1,3,-3,3,2590
swipe,3IMSUI8,1,4,2,2,1994
swipe,3IMSUI8,2,0,-4,4,4384
swipe,3IMSUI8,2,1,5,5,3238
swipe,3IMSUI8,2,2,5,5,3522
swipe,3IMSUI8,2,3,6,6,4111
swipe,3IMSUI8,2,4,-5,5,3218
swipe,3IMSUI8,3,0,9,9,6208
swipe,3IMSUI8,3,1,8,8,4147
swipe,3IMSUI8,3,2,-7,7,3512
swipe,3IMSUI8,3,3,-8,14,6427
swipe,3IMSUI8,3,4,-8,8,4087
swipe,3IMSUI8,4,0,-11,11,7323
swipe,3IMSUI8,4,1,-11,17,8466
swipe,3IMSUI8,4,2,10,10,5140
swipe,3IMSUI8,4,3,-12,12,5323
swipe,3IMSUI8,4,4,11,11,5855
swipe,3IMSUI8,5,0,14,14,6780
swipe,3IMSUI8,5,1,-15,21,8878
swipe,3IMSUI8,5,2,-14,14,5591
swipe,3IMSUI8,5,3,13,13,4813
swipe,3IMSUI8,5,4,-14,14,5404
swipe,3NC8CCE,0,0,-5,8,28205
swipe,3NC8CCE,0,1,5,5,6489
swipe,3NC8CCE,0,2,5,5,4308
swipe,3NC8CCE,0,3,-5,5,4029
swipe,3NC8CCE,0,4,-5,5,3294
swipe,3NC8CCE,1,0,2,2,8388
swipe,3NC8CCE,1,1,-1,1,1716
swipe,3NC8CCE,1,2,-2,2,1976
swipe,3NC8CCE,1,3,-3,3,2247
swipe,3NC8CCE,1,4,2,2,1810
swipe,3NC8CCE,2,0,-4,4,3757
swipe,3NC8CCE,2,1,5,5,3694
swipe,3NC8CCE,2,2,5,5,4007
swipe,3NC8CCE,2,3,6,6,3760
swipe,3NC8CCE,2,4,-5,5,3181
swipe,3NC8CCE,3,0,9,9,6756
swipe,3NC8CCE,3,1,8,8,4778
swipe,3NC8CCE,3,2,-7,7,3814
swipe,3NC8CCE,3,3,-8,8,4001
swipe,3NC8CCE,3,4,-8,8,4528
swipe,3NC8CCE,4,0,-11,11,5671
swipe,3NC8CCE,4,1,-11,11,4657
swipe,3NC8CCE,4,2,10,10,4700
swipe,3NC8CCE,4,3,-12,12,5179
swipe,3NC8CCE,4,4,11,11,4443
swipe,3NC8CCE,5,0,14,14,6854
swipe,3NC8CCE,5,1,-15,15,6325
swipe,3NC8CCE,5,2,-14,14,6552
swipe,3NC8CCE,5,3,13,13,6262
swipe,3NC8CCE,5,4,-14,16,6122
swipe,2TLFJA1,0,0,-5,12,29795
swipe,2TLFJA1,0,1,5,5,4768
swipe,2TLFJA1,0,2,5,5,3239
swipe,2TLFJA1,0,3,-5,11,6263
swipe,2TLFJA1,0,4,-5,5,5261
swipe,2TLFJA1,1,0,2,2,3212
swipe,2TLFJA1,1,1,-1,1,1486
swipe,2TLFJA1,1,2,-2,2,1630
swipe,2TLFJA1,1,3,-3,3,2680
swipe,2TLFJA1,1,4,2,2,1765
